"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
193652.153857143,54673.9594285714,36751.3588571429,30873.0955714286,21462.7227142857,19547.069,62654.3268571429,13933.2027142857,36782.1474285714,27178.6701428571,24534.4127142857,14037.483,17497.3482857143,5425.25828571429,15768.0901428571,9124.13128571429,9669.71714285714,6145.88571428572,3747.86928571429,9014.54857142857,5479.47071428571
53663.198,123136.344857143,27185.4648571429,12282.6267142857,10125.9684285714,6190.57842857143,12521.4192857143,6266.42085714286,13369.0934285714,15625.3721428571,36435.8107142857,35616.6611428571,17977.4934285714,3175.126,6571.36842857143,4808.618,9881.50271428571,5058.07857142857,2699.43185714286,4790.716,2915.26742857143
35802.99,27269.5551428571,100315.313714286,41619.1171428571,13599.7305714286,7576.959,11906.5521428571,6780.835,7143.96757142857,6482.73371428571,7770.12371428571,6261.68185714286,39411.4635714286,23722.5537142857,13968.1387142857,6595.46228571429,5348.77128571429,6860.39571428572,5743.07814285714,7110.81728571429,3768.27328571429
31503.8451428571,11531.0972857143,42985.456,150948.464428571,45817.0605714286,14199.5711428571,38552.5071428571,12656.9627142857,11145.5125714286,7809.99185714286,8149.518,5892.47071428571,12741.8622857143,12371.2884285714,53103.2874285714,13665.3088571429,4766.78514285714,5436.74957142857,5521.51885714286,14121.9871428571,5508.14442857143
21527.1561428571,9791.973,14294.4151428571,45556.8672857143,163403.119714286,67984.3817142857,32986.5718571429,44129.3705714286,14697.3277142857,8807.06014285714,7314.52771428572,5279.769,9214.72742857143,4997.66385714286,40970.4554285714,36033.9311428571,5339.26771428571,4058.03557142857,3793.08514285714,11931.795,8498.48385714286
19336.748,6118.18557142857,7515.39771428571,13975.0212857143,69254.4062857143,111469.370571429,40156.8258571429,47805.837,24290.3561428571,6187.04657142857,4929.829,2997.54328571429,5602.21042857143,2312.59628571429,9471.346,11858.5841428571,3015.33214285714,2467.34271428571,1863.63685714286,5339.638,3839.50442857143
65875.5954285714,12968.4497142857,12054.8084285714,37378.8172857143,33386.9611428571,39982.9015714286,125357.099285714,18591.357,42759.4341428571,13671.8414285714,10376.7765714286,5275.99885714286,7423.04714285714,3512.78671428571,13839.6665714286,9413.16885714286,4410.443,3026.40842857143,2446.41442857143,8465.22957142857,4119.72842857143
13896.32,6231.38114285714,7087.34957142857,12854.7531428571,43824.072,48002.6984285714,19030.4112857143,320699.943285714,34553.504,6684.93257142857,5763.12514285714,3460.769,6291.01914285714,3076.93985714286,14076.0575714286,44770.8591428571,3818.567,3575.30685714286,2814.177,9204.494,6456.73671428571
36521.7231428571,13165.3114285714,7207.57028571429,11467.998,15640.2597142857,24908.288,43711.6152857143,36472.0771428571,133172.454428571,43107.1018571429,13843.2017142857,5330.01371428571,5559.20185714286,2415.37185714286,8240.36,7420.16071428571,4166.75885714286,2373.08142857143,1956.10557142857,6224.19014285714,3184.39742857143
27061.196,15574.183,6783.678,8140.10971428572,8886.05342857143,6388.99285714286,13368.1081428571,6986.14714285714,44753.4644285714,176787.207142857,73214.7108571429,8848.713,5569.98314285714,1975.61957142857,4387.60985714286,3741.59228571429,5716.21514285714,3020.75857142857,1895.54585714286,3482.99685714286,2492.48814285714
24390.5958571429,37096.8798571429,7468.40814285714,8507.78657142857,7301.70114285714,4796.33157142857,9706.61228571429,5565.40471428571,14144.1385714286,73503.149,230286.393428571,39725.3425714286,8422.96571428572,2538.54214285714,5052.916,3907.96214285714,14861.4687142857,4077.00228571429,2253.77671428571,4501.53742857143,2717.18857142857
13749.6998571429,36857.6372857143,6318.49771428571,5801.95171428571,5161.45442857143,2963.85214285714,5109.06514285714,3111.72357142857,5472.72714285714,9481.18785714286,39547.1551428571,103400.796857143,17189.7292857143,2035.94642857143,3791.11385714286,2671.772,27134.0914285714,4054.95142857143,1658.17214285714,2905.87528571429,1877.373
17410.803,18741.8651428571,38554.1741428571,12849.5248571429,9073.11,5623.24871428572,7480.632,6312.477,5743.152,5554.79571428571,8225.921,17174.1147142857,209402.950428571,30175.1372857143,8842.10342857143,5494.17857142857,11613.0287142857,49996.079,14865.7211428571,7518.484,3657.22457142857
5214.52128571429,3101.44857142857,23487.348,12326.3617142857,5142.23885714286,2325.55314285714,3599.47342857143,3065.03457142857,2474.86257142857,1775.13057142857,2383.14514285714,2032.86414285714,30403.1475714286,59144.2471428572,18129.7678571429,3083.76971428571,1494.29528571429,8901.352,14201.5601428571,9926.28914285714,1871.36557142857
15767.0562857143,6496.56142857143,14388.8064285714,53530.0175714286,41037.3935714286,9486.04114285714,15359.3772857143,14283.7388571429,8659.33571428571,4340.34528571429,5178.73057142857,3820.22814285714,8795.102,18017.8721428571,170535.670285714,35548.1157142857,3472.99142857143,4356.87942857143,6184.01357142857,58053.7124285714,8740.049
8984.72142857143,4839.546,6954.62442857143,13726.2311428571,36780.6377142857,11740.9045714286,10019.2058571429,44420.9261428571,6892.03942857143,3780.416,3964.79071428571,2728.14914285714,5380.70257142857,2840.33242857143,35643.763,224310.390428571,2843.252,3594.37942857143,3375.42628571429,27362.4474285714,27479.5207142857
9590.917,10087.183,5209.42014285714,4852.09857142857,5330.58442857143,2998.82257142857,4352.56257142857,3760.846,4199.99,5492.17842857143,14896.1082857143,27028.9264285714,11833.1204285714,1497.85514285714,3390.63257142857,2784.024,125247.403285714,10778.2,2348.08071428571,3070.94228571429,1964.894
6349.25285714286,4986.417,6732.43171428571,5635.68457142857,4088.27957142857,2559.71042857143,3261.312,3573.61514285714,2475.31642857143,2943.03642857143,4163.31457142857,3950.467,49612.2204285714,8864.15871428572,4449.25385714286,3646.45742857143,10500.6062857143,113804.327142857,36475.8647142857,5317.01285714286,2346.48742857143
3726.65828571429,2615.423,5208.33728571428,5496.105,3713.43828571429,1867.40585714286,2477.96757142857,2869.69842857143,2038.15914285714,1816.36785714286,2222.958,1674.81971428571,14663.0127142857,14477.7544285714,6160.72042857143,3480.853,2180.73485714286,36925.4511428571,43438.191,23682.177,2802.585
8382.539,4395.94142857143,7036.31142857143,13755.6948571429,11221.2468571429,5172.24314285714,9301.38071428571,8931.28914285714,6890.00528571429,3354.76528571429,4249.65614285714,2841.89414285714,7414.58714285714,9827.99357142857,60293.5095714286,27285.646,3093.96271428571,5458.86457142857,22786.6054285714,179620.482428571,27712.7827142857
4793.44928571428,2660.20257142857,3724.11871428571,5222.92571428572,8331.838,3663.49971428571,4232.08571428571,5912.771,2695.344,2333.42757142857,2452.15685714286,1790.91242857143,3431.58542857143,1710.50271428571,8815.70814285714,27912.7962857143,1887.47471428571,2299.66928571429,2736.85514285714,27968.6037142857,93386.6767142857
