municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro;2021/12/21 10:15:00;;;954;792,62;16679;13857,59;079603
Madrid-Salamanca;2021/12/21 10:15:00;;;1626;1099,83;22765;15398,3;079604
Madrid-Centro;2021/12/21 10:15:00;;;1352;962,11;22466;15987,3;079601
Madrid-Arganzuela;2021/12/21 10:15:00;;;1311;842,29;21982;14122,89;079602
Madrid-Chamartín;2021/12/21 10:15:00;;;1419;961,71;21832;14796,44;079605
Madrid-Tetuán;2021/12/21 10:15:00;;;1110;687,78;23030;14269,87;079606
Madrid-Chamberí;2021/12/21 10:15:00;;;1663;1180,82;22848;16223,36;079607
Madrid-Fuencarral-El Pardo;2021/12/21 10:15:00;;;1889;755,88;32901;13165,19;079608
Madrid-Moncloa-Aravaca;2021/12/21 10:15:00;;;1255;1031,53;19360;15912,68;079609
Madrid-Latina;2021/12/21 10:15:00;;;1232;508,77;32765;13530,7;079610
Madrid-Carabanchel;2021/12/21 10:15:00;;;1218;468,07;37432;14384,75;079611
Madrid-Usera;2021/12/21 10:15:00;;;593;414,47;21739;15194,34;079612
Madrid-Puente de Vallecas;2021/12/21 10:15:00;;;1107;459,52;41106;17063,09;079613
Madrid-San Blas - Canillejas;2021/12/21 10:15:00;;;940;583,25;22055;13684,65;079620
Madrid-Barajas;2021/12/21 10:15:00;;;353;706,24;6641;13286,52;079621
Madrid-Moratalaz;2021/12/21 10:15:00;;;622;650,85;13796;14435,95;079614
Madrid-Ciudad Lineal;2021/12/21 10:15:00;;;1510;686,7;31970;14539,02;079615
Madrid-Hortaleza;2021/12/21 10:15:00;;;1439;744,73;25558;13227,07;079616
Madrid-Villaverde;2021/12/21 10:15:00;;;618;400,33;22971;14880,39;079617
Madrid-Villa de Vallecas;2021/12/21 10:15:00;;;558;487,54;15674;13694,7;079618
Madrid-Vicálvaro;2021/12/21 10:15:00;;;438;591,86;9868;13334,41;079619
Pozuelo de Alarcón;2021/12/21 10:15:00;;;715;820,28;12449;14282,11;1150
Alcorcón;2021/12/21 10:15:00;;;918;532,53;21983;12752,34;0072
Navalcarnero;2021/12/21 10:15:00;;;165;550,28;3596;11992,66;0967
San Agustín del Guadalix;2021/12/21 10:15:00;;;60;445,57;1912;14198,72;1296
Las Rozas de Madrid;2021/12/21 10:15:00;;;682;709,58;12599;13108,53;1277
Moraleja de Enmedio;2021/12/21 10:15:00;;;34;653,85;796;15307,69;0894
Valdaracete;2021/12/21 10:15:00;;;1;165,29;92;15206,61;1551
Pozuelo del Rey;2021/12/21 10:15:00;;;0;0;109;9300,34;1163
Puebla de la Sierra;2021/12/21 10:15:00;;;0;0;20;27397,26;1185
Perales de Tajuña;2021/12/21 10:15:00;;;33;1103,68;419;14013,38;1104
Valdemorillo;2021/12/21 10:15:00;;;48;375,82;1341;10499,53;1603
Navalafuente;2021/12/21 10:15:00;;;2;132,36;172;11383,19;0941
Velilla de San Antonio;2021/12/21 10:15:00;;;48;387,72;1669;13481,42;1678
Villanueva de la Cañada;2021/12/21 10:15:00;;;197;890,8;3166;14316,08;1760
Villanueva del Pardillo;2021/12/21 10:15:00;;;91;523,11;2335;13422,63;1776
Nuevo Baztán;2021/12/21 10:15:00;;;34;526,81;723;11202,36;1006
Villamantilla;2021/12/21 10:15:00;;;8;539,81;151;10188,93;1757
Villamanta;2021/12/21 10:15:00;;;24;921,31;323;12399,23;1744
Cabanillas de la Sierra;2021/12/21 10:15:00;;;2;254,78;108;13757,96;0297
Cenicientos;2021/12/21 10:15:00;;;11;539,74;264;12953,88;0376
Puentes Viejas;2021/12/21 10:15:00;;;2;286,12;64;9155,94;9020
Aranjuez;2021/12/21 10:15:00;;;221;366,31;8521;14123,52;0133
Cercedilla;2021/12/21 10:15:00;;;37;513,53;1058;14684,25;0382
Santorcaz;2021/12/21 10:15:00;;;5;556,17;78;8676,31;1369
Coslada;2021/12/21 10:15:00;;;442;543,06;11543;14182,16;0493
Morata de Tajuña;2021/12/21 10:15:00;;;26;331,34;1154;14706,26;0915
Robregordo;2021/12/21 10:15:00;;;0;0;5;7692,31;1261
Navarredonda y San Mamés;2021/12/21 10:15:00;;;1;775,19;23;17829,46;0973
Venturada;2021/12/21 10:15:00;;;10;446,23;211;9415,44;1697
Navacerrada;2021/12/21 10:15:00;;;24;776,45;464;15011,32;0936
