"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
89192.315,29181.045,14692.869,8205.019,5091.365,6026.711,24315.154,4273.473,16503.345,12953.345,12045.731,5814.735,7018.608,1938.651,5667.14,2913.199,3726.701,1821.492,1332.8,2795.397,939.581
28247.494,95984.818,14504.142,3273.294,2192.566,2224.838,3407.294,2399.404,6250.941,9815.986,25606.947,25258.293,10456.794,1246.289,2579.704,1722.19,4378.007,2075.896,1041.286,1315.567,634.685
13996.355,14863.592,73272.651,19151.371,3905.562,2892.587,4168.422,2834.667,2442.293,2504.16,3414.404,2395.439,25128.642,16081.668,7949.581,2150.903,2236.538,2704.409,2072.142,2272.657,752.87
7695.852,3525.885,19536.738,73445.639,20473.1,4505.563,9661.553,4083.454,3347.961,2604.56,3032.657,1899.701,5955.024,10780.621,30932.082,4608.399,1477.701,2032.037,1825.138,5289.868,1238.776
5143.65,2373.761,4000.559,20405.917,75538.795,25243.517,9077.954,14820.003,3413.831,2264.98,2186.516,1397.71,2388.258,1459.337,20026.61,13644.003,1247.441,976.01,905.45,3019.468,1558.314
5463.4,2265.209,2841.396,4181.821,25477.122,72562.284,18133.609,30074.489,12611.556,2287.577,1995.055,1395.16,2190.477,881.091,3240.31,3651.192,1152.078,835.507,587.251,1699.705,967.403
24606.622,3699.396,4383.331,9825.959,9443.742,18715.699,62925.801,5955.26,15930.861,4895.683,3891.27,1829.993,2681.154,1410.67,4379.215,2543.696,1428.309,1006.908,638.747,2107.49,763.997
3921.544,2283.846,2996.686,3941.92,14574.75,29765.411,5639.079,224837.87,19548.979,2936.063,2861.853,1660.632,2456.607,1294.215,6357.139,25270.8,1482.462,1388.284,1106.524,3266.569,1900.634
16114.444,6381.102,2374.453,3006.551,3764.242,12647.74,15326.559,20716.815,70542.777,27258.196,5921.471,2019.511,2183.43,848.786,3014.811,2244.592,1451.887,916.603,601.579,1870.539,562.784
12009.904,9675.178,2482.834,2625.958,2285.648,2410.101,4705.049,2843.891,26570.139,126717.41,50022.067,4425.855,2920.066,880.312,1954.906,1390.729,3008.35,1365.005,807.337,1348.985,527.227
11371.44,25653.523,3299.048,3128.329,1920.353,2042.2,3301.256,2688.1,6080.903,48642.846,188898.519,28471.353,5321.44,1122.049,2550.077,1498.041,10213.241,2133.811,1241.8,1838.96,682.36
5230.156,25072.275,2314.025,1993.474,1373.742,1410.676,1633.898,1685.208,2028.044,4560.726,28804.581,77826.508,15514.76,757.734,2106.335,1051.708,18753.336,1928.736,800.361,1054.74,496.502
6091.97,10660.782,24671.697,5739.099,2497.959,2189.335,2349.348,2398.437,2208.56,2959.564,5235.951,15717.546,173770.462,16565.831,4091.619,1895.761,9459.609,40044.379,9633.742,2978.703,984.618
1923.806,1138.136,15899.753,11157.734,1429.799,831.675,1171.682,1414.609,839.037,857.5,1152.585,793.162,15905.066,39664.62,14384.272,1269.127,848.274,6200.61,11611.298,6157.469,644.056
4878.477,2538.121,7748.917,30091.964,19396.398,3510.491,4242.619,6404.975,2941.388,1841.723,2720.673,1775.968,3882.536,14982.539,134341.549,19272.483,1322.78,1978.18,3313.885,37561.448,3300.844
2640.347,1681.917,2001.048,4428.098,13393.825,3762.91,2493.583,25005.4,1985.091,1358.318,1506.507,1097.305,2036.909,1329.48,19901.18,167090.135,1034.586,1400.573,1323.034,15433.483,15290.039
3268.148,4211.808,2127.957,1439.347,1249.028,1276.825,1370.081,1489.365,1348.782,2996.077,10167.37,18957.209,9752.255,893.38,1392.196,1103.782,107873.385,7167.57,1176.75,1024.704,489.036
1660.036,1941.066,2492.011,1889.634,888.924,862.116,928.265,1484.684,856.703,1276.084,2157.369,1941,40471.74,6345.257,1998.394,1333.468,7087.509,99312.347,30420.641,2184.684,599.964
1300.344,997.284,1971.824,1772.365,819.952,568.108,593.446,1041.044,572.749,704.718,1172.902,786.351,9756.421,12272.156,3396.825,1390.768,1132.361,31851.676,36046.195,18288.227,1032.376
2234.275,1378.996,2122.559,4716.489,2858.656,1691.648,2164.068,3272.893,2112.046,1282.15,1725.237,1204.865,2902.077,6373.463,38371.528,15058.633,1043.193,2293.53,17744.318,138395.338,17342.471
711.877,630.262,802.308,1069.58,1542.819,921.972,687.252,1833.481,537.453,494.989,751.002,436.971,944.776,600.195,3276.463,15710.449,502.182,698.671,967.403,17571.543,45897.823
