"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
17952.106,17772.228,9879.979,9482.169,6748.345,8386.688,4675.188,2253.219,3322.514,33810.272,3531.683,1746.749
17900.217,30989.353,14998.023,24558.991,18659.115,7968.289,2803.999,3036.768,7357.273,15674.238,3269.839,2216.449
9960.186,14905.096,56638.019,34733.936,4308.088,3556.425,15021.003,18863.457,4938.372,20584.482,4562.895,7445.879
9514.72,24747.09,34184.489,90195.841,13143.54,6673.225,4745.001,22314.982,22167.566,19514.798,6379.403,12508.926
6564.498,18643.249,4321.764,13052.093,16145.544,11928.017,1010.754,1441.081,10964.432,8906.004,3913.789,1961.817
8574.426,7865.872,3666.58,6577.318,11891.623,19663.308,993.043,1623.894,5914.357,15588.859,6436.231,1936.506
4595.645,2915.229,14893.441,4764.534,1128.573,1034.83,10042.316,5781.107,1395.766,15365.162,1905.971,3411.702
2261.753,3094.132,19207.61,22775.219,1403.899,1698.828,6050.093,20741.025,2690.191,7524.569,2017.491,6140.682
3175.138,6899.797,5053.421,20901.315,11039.765,5999.809,1287.15,2866.464,18114.47,9470.625,7326.47,2636.432
34105.304,15645.202,20949.486,20082.049,8654.022,15382.887,15103.393,7285.224,9011.956,177912.32,27479.186,8125.346
3437.991,3400.133,4554.614,6517.261,3816.107,6439.778,1867.621,2097.705,7168.997,27113.053,32114.783,2652.826
1780.203,2069.721,7076.172,12382.842,2042.803,1825.581,3472.647,6487.683,2917.572,8405.524,2488.759,16930.867
