zbs,fecha_informe,casos_confirmados_ultimos_14dias,tasa_incidencia_acumulada_ultimos_14dias,casos_confirmados_totales,tasa_incidencia_acumulada_total
Abrantes,2022/01/11 10:21:00,538,1684.72,5322,16665.62
Acacias,2022/01/11 10:21:00,333,1712.08,3206,16483.29
Adelfas,2022/01/11 10:21:00,702,2382.16,5041,17106.11
Alameda,2022/01/11 10:21:00,464,2121.24,4295,19635.18
Alameda_de_Osuna,2022/01/11 10:21:00,663,2246.47,5035,17060.28
Alcalde BartolomÈ Gonz·lez,2022/01/11 10:21:00,734,3305.56,4145,18666.97
Alcalá_de_Guadaíra,2022/01/11 10:21:00,362,2872.79,2540,20157.13
Alcobendas - Chopera,2022/01/11 10:21:00,931,3306.7,6496,23072.28
Alcocer,2022/01/11 10:21:00,587,3336.74,3474,19747.61
Algete,2022/01/11 10:21:00,768,2708.99,5684,20049.38
Alicante,2022/01/11 10:21:00,812,3245.66,5194,20761.05
Almendrales,2022/01/11 10:21:00,502,2258.41,4269,19205.51
Alpedrete,2022/01/11 10:21:00,518,3490.8,2877,19388.1
Alpes,2022/01/11 10:21:00,856,2360.6,6438,17754.12
Andrés_Mellado,2022/01/11 10:21:00,537,2232.01,5166,21472.21
Ángela_Uriarte,2022/01/11 10:21:00,820,2973.49,5940,21539.69
Antonio_Leyva,2022/01/11 10:21:00,276,1969.46,2448,17468.25
Aquitania,2022/01/11 10:21:00,562,2276.5,4040,16364.89
Aranjuez,2022/01/11 10:21:00,1101,2469,7751,17381.65
Aravaca,2022/01/11 10:21:00,723,2079.38,7058,20299.11
Arganda del Rey,2022/01/11 10:21:00,874,3995.79,4152,18982.31
Arganda - Felicidad,2022/01/11 10:21:00,1264,3631.66,6415,18431.26
Argüelles,2022/01/11 10:21:00,563,2306.05,4957,20303.92
Arroyomolinos,2022/01/11 10:21:00,823,2498.86,5016,15230
Barajas,2022/01/11 10:21:00,418,2167.49,3390,17578.43
Barcelona,2022/01/11 10:21:00,588,2801.87,3819,18197.85
Barrio del Puerto,2022/01/11 10:21:00,534,3462.14,2889,18730.55
Baviera,2022/01/11 10:21:00,248,1649.59,2555,16994.81
Benita_de_Ávila,2022/01/11 10:21:00,444,2255.07,3479,17669.76
Boadilla del Monte,2022/01/11 10:21:00,1142,2012.9,9270,16339.41
Br˙jula,2022/01/11 10:21:00,698,3390.49,4006,19458.88
Buenavista,2022/01/11 10:21:00,538,2373.7,3745,16523.27
Buitrago de Lozoya,2022/01/11 10:21:00,155,2757.03,1089,19370.33
Bustarviejo,2022/01/11 10:21:00,363,1741.84,3708,17792.71
Butarque,2022/01/11 10:21:00,525,2623.03,3275,16362.73
Cadalso de los Vidrios,2022/01/11 10:21:00,192,3404.26,964,17092.2
Campamento,2022/01/11 10:21:00,300,1900.3,2624,16621.27
Campo Real,2022/01/11 10:21:00,719,3583.89,3488,17386.1
